Date,Open,High,Low,Close,Volume
2020-01-02,74.06,75.15,73.8,75.09,"135,65M"
2020-01-03,74.29,75.14,74.12,74.36,"146,54M"
2020-01-06,73.45,74.99,73.19,74.95,"118,58M"
2020-01-07,74.96,75.22,74.37,74.6,"111,51M"
2020-01-08,74.29,76.11,74.29,75.8,"132,36M"
2020-01-09,76.81,77.61,76.55,77.41,"170,49M"
2020-01-10,77.65,78.17,77.06,77.58,"140,87M"
2020-01-13,77.91,79.27,77.79,79.24,"122,09M"
2020-01-14,79.17,79.39,78.04,78.17,"162,61M"
2020-01-15,77.96,78.88,77.39,77.83,"121,92M"
2020-01-16,78.4,78.92,78.02,78.81,"108,83M"
2020-01-17,79.07,79.69,78.75,79.68,"137,82M"
2020-01-21,79.3,79.75,79,79.14,"110,84M"
2020-01-22,79.64,80,79.33,79.42,"101,83M"
2020-01-23,79.48,79.89,78.91,79.81,"104,47M"
2020-01-24,80.06,80.83,79.38,79.58,"146,54M"
2020-01-27,77.52,77.94,76.22,77.24,"161,94M"
2020-01-28,78.15,79.6,78.05,79.42,"162,23M"
2020-01-29,81.11,81.96,80.34,81.08,"216,60M"
2020-01-30,80.14,81.02,79.69,80.97,"126,74M"
2020-01-31,80.23,80.67,77.07,77.38,"199,59M"
2020-02-03,76.08,78.37,75.56,77.17,"173,99M"
2020-02-04,78.83,79.91,78.41,79.71,"136,62M"
2020-02-05,80.88,81.19,79.74,80.36,"118,83M"
2020-02-06,80.64,81.31,80.07,81.3,"105,43M"
2020-02-07,80.59,80.85,79.5,80.01,"117,68M"
2020-02-10,78.55,80.39,78.46,80.39,"109,35M"
2020-02-11,80.9,80.97,79.68,79.9,"94,32M"
2020-02-12,80.37,81.81,80.37,81.8,"113,73M"
2020-02-13,81.05,81.56,80.84,81.22,"94,75M"
2020-02-14,81.19,81.5,80.71,81.24,"80,11M"
2020-02-18,78.84,79.94,78.65,79.75,"152,76M"
2020-02-19,80,81.14,80,80.91,"93,98M"
2020-02-20,80.66,81.16,79.55,80.08,"100,57M"
2020-02-21,79.66,80.11,77.62,78.26,"129,71M"
2020-02-24,74.31,76.05,72.31,74.55,"222,20M"
2020-02-25,75.24,75.63,71.53,72.02,"230,67M"
2020-02-26,71.63,74.47,71.62,73.16,"198,71M"
2020-02-27,70.28,71.5,68.24,68.38,"320,61M"
2020-02-28,64.31,69.6,64.09,68.34,"426,88M"
2020-03-02,70.57,75.36,69.43,74.7,"341,40M"
2020-03-03,75.92,76,71.45,72.33,"319,48M"
2020-03-04,74.11,75.85,73.28,75.69,"219,18M"
2020-03-05,73.88,74.89,72.85,73.23,"187,57M"
2020-03-06,70.5,72.7,70.31,72.26,"226,18M"
2020-03-09,65.94,69.52,65.75,66.54,"286,74M"
2020-03-10,69.28,71.61,67.34,71.33,"285,29M"
2020-03-11,69.35,70.31,67.97,68.86,"256,38M"
2020-03-12,63.98,67.5,62,62.06,"418,47M"
2020-03-13,66.22,69.98,63.24,69.49,"370,73M"
2020-03-16,60.49,64.77,60,60.55,"322,42M"
2020-03-17,61.88,64.4,59.6,63.22,"324,06M"
2020-03-18,59.94,62.5,59.28,61.67,"300,23M"
2020-03-19,61.85,63.21,60.65,61.2,"271,86M"
2020-03-20,61.8,62.96,57,57.31,"401,69M"
2020-03-23,57.02,57.12,53.15,56.09,"336,75M"
2020-03-24,59.09,61.92,58.58,61.72,"287,53M"
2020-03-25,62.69,64.56,61.08,61.38,"303,60M"
2020-03-26,61.63,64.67,61.59,64.61,"252,56M"
2020-03-27,63.19,63.97,61.76,61.94,"204,22M"
2020-03-30,62.69,63.88,62.35,63.7,"167,98M"
2020-03-31,63.9,65.62,63,63.57,"197,00M"
2020-04-01,61.62,62.18,59.78,60.23,"176,22M"
2020-04-02,60.09,61.29,59.23,61.23,"165,93M"
2020-04-03,60.7,61.42,59.74,60.35,"129,88M"
2020-04-06,62.73,65.78,62.34,65.62,"201,82M"
2020-04-07,67.7,67.92,64.75,64.86,"202,89M"
2020-04-08,65.69,66.84,65.31,66.52,"168,90M"
2020-04-09,67.17,67.52,66.17,67,"162,12M"
2020-04-13,67.08,68.42,66.46,68.31,"131,02M"
2020-04-14,70,72.06,69.51,71.76,"194,99M"
2020-04-15,70.6,71.58,70.16,71.11,"131,15M"
2020-04-16,71.84,72.05,70.59,71.67,"157,13M"
2020-04-17,71.17,71.74,69.22,70.7,"215,25M"
2020-04-20,69.49,70.42,69.21,69.23,"130,02M"
2020-04-21,69.07,69.31,66.36,67.09,"180,99M"
2020-04-22,68.4,69.47,68.05,69.03,"117,06M"
2020-04-23,68.97,70.44,68.72,68.76,"124,81M"
2020-04-24,69.3,70.75,69.25,70.74,"126,51M"
2020-04-27,70.45,71.14,69.99,70.79,"117,09M"
2020-04-28,71.27,71.46,69.55,69.64,"112,00M"
2020-04-29,71.18,72.42,70.97,71.93,"137,28M"
2020-04-30,72.49,73.63,72.09,73.45,"183,06M"
2020-05-01,71.56,74.75,71.46,72.27,"240,62M"
2020-05-04,72.29,73.42,71.58,73.29,"133,57M"
2020-05-05,73.77,75.25,73.61,74.39,"147,75M"
2020-05-06,75.11,75.81,74.72,75.16,"142,33M"
2020-05-07,75.81,76.29,75.49,75.94,"115,22M"
2020-05-08,76.41,77.59,76.07,77.53,"134,05M"
2020-05-11,77.03,79.26,76.81,78.75,"145,95M"
2020-05-12,79.46,79.92,77.73,77.85,"162,30M"
2020-05-13,78.04,78.99,75.8,76.91,"200,62M"
2020-05-14,76.13,77.45,75.38,77.39,"158,93M"
2020-05-15,75.09,76.97,75.05,76.93,"166,35M"
2020-05-18,78.29,79.12,77.58,78.74,"135,37M"
2020-05-19,78.76,79.63,78.25,78.28,"101,73M"
2020-05-20,79.17,79.88,79.05,79.81,"111,50M"
2020-05-21,79.67,80.22,78.97,79.21,"102,69M"
2020-05-22,78.94,79.81,78.84,79.72,"81,80M"
2020-05-26,80.88,81.06,79.12,79.18,"125,52M"
2020-05-27,79.03,79.68,78.27,79.53,"112,95M"
2020-05-28,79.19,80.86,78.91,79.56,"133,80M"
2020-05-29,79.81,80.29,79.12,79.48,"153,60M"
2020-06-01,79.44,80.59,79.3,80.46,"81,02M"
2020-06-02,80.19,80.86,79.73,80.83,"87,64M"
2020-06-03,81.17,81.55,80.58,81.28,"104,49M"
2020-06-04,81.1,81.41,80.19,80.58,"87,56M"
2020-06-05,80.84,82.94,80.81,82.88,"137,25M"
2020-06-08,82.56,83.4,81.83,83.36,"95,65M"
2020-06-09,83.03,86.4,83,86,"147,71M"
2020-06-10,86.97,88.69,86.52,88.21,"166,65M"
2020-06-11,87.33,87.77,83.87,83.97,"201,66M"
2020-06-12,86.18,86.95,83.56,84.7,"200,15M"
2020-06-15,83.31,86.42,83.14,85.75,"138,81M"
2020-06-16,87.86,88.3,86.18,88.02,"165,43M"
2020-06-17,88.79,88.85,87.77,87.9,"114,41M"
2020-06-18,87.85,88.36,87.31,87.93,"96,82M"
2020-06-19,88.66,89.14,86.29,87.43,"264,48M"
2020-06-22,87.83,89.86,87.79,89.72,"135,45M"
2020-06-23,91,93.09,90.57,91.63,"212,16M"
2020-06-24,91.25,92.2,89.63,90.02,"192,62M"
